Candidato;Tweet;Fecha;# Retweets;# Likes;Ubicación (usuario)
Guillermo Lasso;RT @FaustoCoboM3: @anabella2586 @Cbrapo7 ...el 28% que votamos a favor de LASSO en la primera vuelta de ELECCIONES 2017, lo hicimos con la…;Sun Jan 31 ;2;4;Pichincha, Ecuador
Guillermo Lasso;RT @llpesantes: Este gerente de ECUATRANDIEGOLARA  debe ser enjuiciado por los señores de derechos humano pues este Sr piensa que puede ord…;Sun Jan 31 ;3;3;Manabi, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: @CesarMongeO Mientras LASSO propone fortalecer a la FUERZA PÚBLICA en su lucha contra la delincuencia, narcotráfico y ter…;Sun Jan 31 ;7;8;Pichincha, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: @AndrsValarezo6 @Incansable1962 @Patrici40930366 @marcelomolina17 @ivonaro @DejemosM @ratael6661 @Fernand80368264 @fnix91…;Sun Jan 31 ;15;22;Pichincha, Ecuador
Guillermo Lasso;RT @Seba_Gonza90: #VidalPresidente Creo que es momento de unidad, y de dejar de lado los personalismos para trabajar en equipo, por eso y m…;Sun Jan 31 ;5;5;Pichincha, Ecuador
Guillermo Lasso;"RT @MarcoAnibal: Voto por Araúz se compone:

1 Voto correísta para detener el desastre nacional

2 Voto no correísta para detener el desast…";Sun Jan 31 ;308;835;Tena, Ecuador
Guillermo Lasso;"@LassoGuillermo @panchojimenezs @JuanPHidalgoC @guido_chiriboga @CesarMongeO Asi?
Que dijo ud Lasso de la ESTAFA de… https://t.co/3SHVAYjGzd";Sun Jan 31 ;0;0;Napo, Ecuador
Guillermo Lasso;"...los CHIMBADORES FANATICOS DEL NARCO PRÓFUGO, 
a unos se les caen  los pantalones y  a otros seguidores 
de la LI… https://t.co/nzZ5EkwbtP";Sun Jan 31 ;0;0;Pichincha, Ecuador
Guillermo Lasso;"RT @jorgejhorlfl: ...los CHIMBADORES FANATICOS DEL NARCO PRÓFUGO, 
a unos se les caen  los pantalones y  a otros seguidores 
de la LISTA 1.…";Sun Jan 31 ;1;1;Latacunga, Ecuador
Guillermo Lasso;Yo no voto por Lasso por ser la única opción o porque “toca” , estoy feliz de decir que me siento representado por… https://t.co/6AyOxKY1yl;Sun Jan 31 ;0;0;Latacunga, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: ...el 28% que votamos a favor de LASSO en la primera vuelta de ELECCIONES 2017, lo hicimos con la razón y con lealtad a n…;Sun Jan 31 ;146;406;Esmeraldas,Ecuador
Guillermo Lasso;"RT @GabuPsychic: ¡A 9 días de las elecciones!
Espero que Arauz gane en una sola vuelta para q Carlos Vera se largue del Ecuador, para que G…";Sun Jan 31 ;693;1878;Esmeraldas,Ecuador
Guillermo Lasso;Totalmente cierto. Y ya quiero ir a votar para que esto acabe en una sola vuelta! Que vengan las vacunas y el traba… https://t.co/d6X1Kkn5OY;Sun Jan 31 ;0;0;Esmeraldas,Ecuador
Guillermo Lasso;"RT @chinogomez14: El voto de Lasso es obligado, es por odio, es por interés, es por conveniencia.
El voto de @ecuarauz y @rabascallcarlos e…";Tue Feb 02 ;42;68;Orellana, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: ...el 28% que votamos a favor de LASSO en la primera vuelta de ELECCIONES 2017, lo hicimos con la razón y con lealtad a n…;Tue Feb 02 ;147;407;Orellana, Ecuador
Guillermo Lasso;RT @FaustoCoboM3: @biological_dr @TCE_Ecuador @cnegobec Mientras LASSO propone fortalecer a la FUERZA PÚBLICA en su lucha contra la delincu…;Tue Feb 02 ;1;1;Orellana, Ecuador
Guillermo Lasso;RT @ETacle: Yo no soy seguidor de Guillermo Lasso,  pero, por mi país Ecuador,  por mi familia, por mis amigos, por toda la gente que conoz…;Tue Feb 02 ;740;2177;Napo, Ecuador
Guillermo Lasso;"RT @chinogomez14: El voto de Lasso es obligado, es por odio, es por interés, es por conveniencia.
El voto de @ecuarauz y @rabascallcarlos e…";Tue Feb 02 ;43;71;Napo, Ecuador
Guillermo Lasso;@AlecCardenas Uyyyyy disculpas , este es el nivel de estos iluminados que cree que Lasso es la solución , BANQUERO… https://t.co/f2Hyi3l1n3;Tue Feb 02 ;0;0;Tunguragua,Ecuador
Guillermo Lasso;"RT @chinogomez14: El voto de Lasso es obligado, es por odio, es por interés, es por conveniencia.
El voto de @ecuarauz y @rabascallcarlos e…";Tue Feb 02 ;44;71;Tunguragua,Ecuador
Guillermo Lasso;RT @FaustoCoboM3: @janethinostroza Mientras LASSO propone fortalecer a la FUERZA PÚBLICA en su lucha contra la delincuencia, narcotráfico y…;Tue Feb 02 ;5;15;Tunguragua,Ecuador
