Candidato;Tweet;Fecha;# Retweets;# Likes;Ubicación (usuario);Ubicación (tweet)
Andrés Arauz;"RT @MashiRafael: 🔴🔴🔴
En tus manos está poner fin a esta pesadilla.
Aráuz está a décimas de ganar en una sola vuelta.
Un presidente electo e…";Sat Jan 30 21:51:28 +0000 2021;863;1827;Pichincha, Ecuador;
Andrés Arauz;RT @MagdaRoblesL: #AndrésArauz: Le tomaremos la palabra a la propuesta del candidato banquero y nos comprometemos a que todo trabajador…;Sat Jan 30 21:51:31 +0000 2021;262;500;Manabi, Ecuador;
Andrés Arauz;RT @WilmerSantacru3: Llega fin d enero,los contagios y fallecimientos se incrementan,los hospitales están en su máxima capacidad y NO LLEGA…;Sat Jan 30 21:51:38 +0000 2021;249;454;Pichincha, Ecuador;
Andrés Arauz;RT @WilmerSantacru3: Llega fin d enero,los contagios y fallecimientos se incrementan,los hospitales están en su máxima capacidad y NO LLEGA…;Sat Jan 30 21:52:36 +0000 2021;250;454;Pichincha, Ecuador;
Andrés Arauz;CNE de Ecuador confirma realización de comicios el 7 de febrero| #ArauzPresidente #ARecuperarElFuturo Ecuador es UN… https://t.co/AoLHWhiVi1;Sat Jan 30 21:53:16 +0000 2021;0;0;Pichincha, Ecuador;
Andrés Arauz;"RT @KinttoLucas: En La Lucha de los Pobres, junto a los jóvenes pintamos el país que soñamos... 
#QuitoEs1 
#TodoTodito1 
#ArauzPresidente";Sat Jan 30 21:53:50 +0000 2021;3;7;Tena, Ecuador;
Andrés Arauz;RT @MagdaRoblesL: #AndrésArauz: Le tomaremos la palabra a la propuesta del candidato banquero y nos comprometemos a que todo trabajador…;Sat Jan 30 21:54:29 +0000 2021;263;503;Napo, Ecuador;
Andrés Arauz;Ecuador Una Sola Vuelta SONRÍE VAMOS A GANAR #UnaSolaVuelta #ArauzPresidente #ArauzRabascall https://t.co/hdwKeFoi9t;Sat Jan 30 21:54:44 +0000 2021;0;0;Pichincha, Ecuador;
Andrés Arauz;"@luisevivanco Llorar a estas alturas, no sirve 😂😂😂😂😂
El mejor remedio es la resignación 😂😂😂
#ArauzPresidente";Sat Jan 30 21:55:28 +0000 2021;0;0;Latacunga, Ecuador;
Andrés Arauz;RT @az1_ecuador: 📙 Diccionario #DeLaALaZ ❌ No permitiremos que el banquero y sus aliados sigan sacando los Dólares del país 💸 contribuyendo…;Sat Jan 30 21:56:00 +0000 2021;24;34;Latacunga, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 21:56:36 +0000 2021;97;107;Esmeraldas,Ecuador;
Andrés Arauz;RT @consuemary: En realidad está pidiendo que no lo dejen ganar!! Y claro la prensa pautada hace de parlante... 🙄🙄🙄🙄 #EleccionesEcuador2021…;Sat Jan 30 21:56:56 +0000 2021;5;12;Esmeraldas,Ecuador;
Andrés Arauz;RT @MagdaRoblesL: #AndrésArauz: Le tomaremos la palabra a la propuesta del candidato banquero y nos comprometemos a que todo trabajador…;Sat Jan 30 21:57:17 +0000 2021;264;505;Esmeraldas,Ecuador;
Andrés Arauz;"RT @MashiRafael: 🔴🔴🔴
En tus manos está poner fin a esta pesadilla.
Aráuz está a décimas de ganar en una sola vuelta.
Un presidente electo e…";Sat Jan 30 21:57:50 +0000 2021;864;1827;Orellana, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 21:58:32 +0000 2021;98;107;Orellana, Ecuador;
Andrés Arauz;Ecuador es UNO #UnaSolaVuelta #ArauzRabascall #ArauzPresidente #ARecuperarElFuturo https://t.co/zsA2BzZxcf;Sat Jan 30 21:58:46 +0000 2021;0;0;Orellana, Ecuador;
Andrés Arauz;"@Coly66 Llorar, a estas alturas, no le dará el triunfo a Lasso 
😂😂😂😂😂😂
El mejor remedio es la resignación 😂😂😂
#ArauzPresidente";Sat Jan 30 21:59:11 +0000 2021;0;0;Napo, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 21:59:19 +0000 2021;99;108;Napo, Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 21:59:30 +0000 2021;100;109;Tunguragua,Ecuador;
Andrés Arauz;"RT @lahoraecuador: #Elecciones2021 
Revista Semana tuvo acceso a documentos del #ELN, tras la muerte de uno de los líderes, donde se revela…";Sat Jan 30 22:00:15 +0000 2021;101;111;Tunguragua,Ecuador;
Andrés Arauz;RT @consuemary: En realidad está pidiendo que no lo dejen ganar!! Y claro la prensa pautada hace de parlante... 🙄🙄🙄🙄 #EleccionesEcuador2021…;Sat Jan 30 22:00:38 +0000 2021;6;13;Tunguragua,Ecuador;
Andrés Arauz;#AndresArauz cerrando Última Semana con un 67% de Preferencia Electoral en las #Encuestas #UnaSolaVuelta… https://t.co/7m9tLMdcYk;Sat Jan 30 22:00:40 +0000 2021;0;0;Tunguragua,Ecuador;
